Hours Studied,Previous Scores,Sleep Hours,Sample Question Papers Practiced,Performance Index
4,99,7,1,82.0
8,49,6,9,41.0
2,97,7,6,75.0
3,81,8,9,63.0
1,44,7,3,17.0
1,49,7,3,24.0
3,89,8,7,69.0
5,60,8,5,47.0
3,63,6,8,43.0
1,77,4,1,48.0
1,42,8,4,17.0
8,79,6,5,75.0
2,70,7,7,54.0
3,80,7,3,59.0
2,76,9,6,56.0
3,41,5,6,20.0
7,41,8,3,34.0
1,78,6,0,54.0
8,88,9,2,83.0
2,81,6,1,59.0
3,83,4,2,63.0
9,73,9,4,72.0
7,81,6,0,70.0
4,59,8,4,41.0
5,72,6,1,54.0
2,43,5,3,21.0
8,84,7,5,83.0
4,83,7,8,64.0
9,50,9,9,51.0
5,81,6,5,66.0
9,86,6,9,83.0
4,44,6,1,26.0
5,64,6,7,49.0
9,88,5,4,85.0
8,99,8,8,95.0
3,76,5,9,56.0
1,73,5,8,50.0
3,48,5,3,23.0
4,45,7,0,26.0
2,57,5,8,30.0
1,53,6,8,28.0
7,58,5,7,48.0
8,53,6,4,46.0
7,79,9,4,73.0
5,56,8,9,45.0
1,99,7,5,76.0
7,74,8,0,71.0
7,68,9,8,60.0
9,81,8,4,77.0
3,56,7,6,36.0
9,98,6,7,96.0
1,82,9,4,62.0
1,47,9,2,22.0
4,40,6,5,21.0
9,84,6,6,79.0
6,92,7,3,82.0
3,75,5,8,55.0
1,46,4,3,22.0
4,85,5,9,70.0
9,44,5,1,37.0
3,63,8,8,42.0
9,67,4,3,64.0
7,82,6,3,72.0
4,56,5,9,42.0
3,76,7,0,56.0
5,59,5,1,43.0
5,42,6,2,24.0
3,76,5,6,55.0
9,65,9,8,64.0
4,54,8,4,34.0
5,90,8,3,78.0
4,87,5,1,71.0
5,47,8,6,33.0
7,52,7,5,46.0
9,87,4,6,86.0
7,42,5,7,34.0
5,40,7,8,26.0
7,48,9,9,44.0
5,70,7,4,53.0
3,80,7,4,61.0
7,93,9,3,84.0
2,65,6,2,40.0
9,56,5,6,53.0
1,95,5,4,67.0
6,73,5,6,58.0
7,48,4,1,41.0
8,95,7,8,89.0
9,90,5,8,85.0
2,52,8,8,33.0
2,44,6,4,20.0
5,80,9,9,66.0
5,52,9,8,38.0
6,40,4,0,25.0
3,64,9,1,43.0
8,86,6,9,79.0
1,43,7,4,16.0
6,75,9,4,67.0
4,91,9,5,80.0
1,49,8,7,26.0
7,67,7,0,57.0
9,96,5,9,91.0
4,45,6,8,29.0
4,66,9,3,48.0
6,95,8,7,84.0
3,51,6,4,33.0
6,91,4,0,82.0
7,87,8,8,81.0
3,42,4,7,24.0
7,85,9,4,81.0
3,72,8,3,54.0
2,49,5,7,25.0
4,70,6,8,53.0
8,54,6,6,48.0
9,46,7,3,40.0
7,75,8,6,66.0
1,53,8,5,29.0
3,95,4,2,73.0
9,87,8,9,89.0
1,53,6,2,27.0
9,42,8,0,40.0
8,88,7,4,83.0
1,92,7,7,69.0
6,85,6,5,72.0
5,89,6,7,77.0
6,42,6,6,32.0
5,61,8,1,49.0
6,58,8,7,44.0
5,74,5,3,57.0
5,51,9,4,34.0
4,93,9,7,76.0
3,44,4,4,22.0
3,49,8,4,30.0
4,80,5,5,67.0
9,72,5,6,71.0
2,52,7,8,29.0
9,74,8,6,74.0
1,90,5,5,67.0
1,71,7,9,46.0
5,50,4,3,34.0
6,87,7,9,76.0
6,77,4,1,64.0
3,63,9,8,46.0
7,74,9,9,68.0
9,58,6,4,58.0
8,45,6,4,41.0
6,79,7,2,64.0
8,93,6,2,84.0
5,84,8,0,70.0
8,83,7,4,77.0
4,81,5,2,60.0
8,74,8,1,65.0
2,43,7,8,21.0
5,72,9,9,60.0
9,52,4,5,48.0
4,95,6,2,77.0
6,75,6,6,63.0
1,93,6,8,68.0
9,82,7,8,81.0
1,58,8,0,29.0
5,82,4,1,66.0
4,51,6,7,36.0
3,50,8,0,29.0
6,45,5,2,32.0
2,51,9,6,31.0
3,66,5,7,45.0
5,80,4,4,65.0
9,64,6,1,57.0
2,81,5,2,58.0
8,42,9,8,38.0
2,42,8,9,22.0
5,59,8,6,48.0
7,67,5,0,59.0
8,62,6,2,58.0
1,87,9,8,62.0
6,42,4,6,30.0
1,81,6,1,56.0
2,63,7,5,40.0
1,82,5,8,59.0
5,79,7,3,65.0
9,45,5,9,43.0
6,59,4,1,48.0
1,50,6,2,24.0
1,71,9,6,51.0
2,99,6,3,81.0
9,66,5,6,62.0
3,60,8,4,43.0
1,83,7,7,63.0
5,87,9,7,73.0
7,89,9,4,76.0
6,52,6,6,43.0
1,61,6,5,34.0
5,74,5,7,57.0
5,86,8,8,72.0
6,61,7,4,47.0
3,67,8,6,52.0
5,60,9,0,49.0
7,85,8,7,77.0
5,57,5,2,41.0
5,70,8,0,56.0
5,99,7,5,89.0
3,85,9,7,65.0
1,76,4,2,49.0
5,60,9,0,48.0
9,53,4,2,47.0
1,64,7,4,37.0
3,66,9,7,48.0
4,79,9,8,61.0
1,99,9,8,77.0
1,99,9,3,75.0
8,62,5,7,57.0
2,70,6,4,45.0
8,86,9,2,82.0
7,99,5,4,90.0
2,68,7,1,42.0
6,86,9,5,74.0
6,69,8,0,60.0
3,90,9,5,73.0
2,65,9,4,40.0
1,59,4,8,32.0
6,77,8,6,67.0
5,58,9,5,46.0
9,66,9,6,65.0
1,64,9,9,42.0
7,79,5,4,69.0
5,77,7,0,62.0
5,91,4,8,75.0
2,62,9,4,40.0
3,68,7,3,43.0
7,54,4,5,42.0
6,98,4,4,84.0
2,42,4,0,15.0
6,49,9,1,39.0
2,54,5,3,26.0
2,95,9,7,73.0
2,55,9,4,34.0
3,56,7,6,34.0
2,58,6,1,37.0
4,50,6,7,34.0
9,87,6,4,85.0
6,44,7,3,31.0
1,44,8,8,18.0
8,97,7,5,92.0
7,53,4,3,44.0
3,89,9,7,72.0
1,65,8,2,40.0
5,47,4,9,31.0
4,44,9,1,25.0
8,46,9,6,44.0
1,55,4,3,27.0
1,94,7,3,66.0
4,53,6,9,34.0
8,76,8,8,70.0
5,95,9,1,81.0
2,80,5,0,56.0
6,43,9,6,30.0
5,75,6,7,60.0
2,87,9,2,64.0
3,95,5,1,74.0
9,56,7,3,52.0
7,86,9,1,84.0
7,75,8,1,66.0
6,45,7,4,32.0
8,55,5,9,47.0
4,68,4,4,51.0
8,75,9,7,67.0
4,77,7,8,57.0
8,76,9,1,71.0
9,87,8,0,86.0
3,96,9,2,77.0
3,87,7,5,72.0
2,49,6,4,24.0
3,80,7,7,60.0
3,75,5,7,55.0
5,68,7,1,54.0
5,53,8,8,39.0
2,43,7,3,19.0
6,83,7,0,68.0
5,95,8,1,83.0
6,81,7,5,72.0
1,75,8,4,49.0
5,89,5,6,74.0
9,84,8,8,86.0
2,52,5,5,26.0
1,85,5,5,60.0
9,57,8,1,54.0
9,72,7,6,73.0
9,60,9,1,61.0
6,55,6,6,45.0
8,54,9,7,57.0
1,93,8,0,68.0
4,96,7,8,72.0
1,44,5,7,17.0
8,45,4,8,37.0
1,77,6,4,54.0
3,42,9,3,22.0
4,87,7,0,73.0
8,51,6,8,47.0
6,75,4,3,63.0
7,72,4,3,63.0
8,75,4,3,68.0
2,72,9,1,52.0
8,70,8,3,64.0
3,60,6,1,38.0
7,66,8,7,60.0
3,66,4,6,45.0
7,47,7,9,39.0
2,95,4,1,75.0
6,76,8,1,67.0
3,71,4,1,48.0
3,65,4,0,44.0
9,41,8,5,37.0
7,51,8,5,41.0
5,61,7,0,47.0
7,56,8,0,45.0
9,46,7,5,43.0
1,82,5,5,54.0
7,43,5,3,32.0
6,76,8,2,64.0
9,77,4,8,74.0
1,71,6,5,50.0
4,50,4,0,33.0
9,40,8,2,36.0
4,64,7,0,45.0
3,81,4,2,58.0
9,91,5,1,85.0
2,63,9,4,41.0
4,92,8,2,78.0
6,82,4,6,63.0
2,95,9,7,76.0
8,56,4,6,51.0
8,47,7,1,36.0
1,98,7,9,74.0
3,84,7,9,65.0
9,66,9,6,65.0
5,91,6,9,79.0
6,57,9,2,46.0
4,66,8,6,47.0
2,61,8,0,42.0
8,55,5,1,46.0
6,41,5,9,34.0
5,44,8,0,27.0
9,57,4,8,52.0
1,42,8,1,17.0
5,66,6,1,53.0
6,93,5,5,84.0
5,56,5,6,39.0
6,55,9,1,44.0
6,45,5,3,36.0
7,90,8,2,81.0
4,46,5,4,30.0
8,89,5,8,80.0
7,53,9,1,41.0
9,77,8,4,77.0
7,79,4,7,69.0
3,54,5,5,34.0
3,86,5,3,64.0
8,86,5,9,78.0
5,87,6,7,74.0
4,72,8,2,52.0
8,82,5,3,76.0
6,66,6,8,53.0
2,68,4,4,46.0
4,96,4,5,77.0
4,76,9,1,59.0
6,44,9,8,35.0
6,68,9,7,61.0
1,71,6,6,46.0
8,99,4,8,97.0
6,92,9,4,86.0
3,45,7,4,24.0
9,41,9,8,37.0
2,45,4,4,18.0
8,85,7,8,84.0
3,82,6,0,59.0
5,43,7,9,29.0
6,95,4,9,84.0
6,68,5,7,60.0
4,98,7,2,78.0
3,64,4,7,46.0
4,48,9,4,31.0
1,95,5,1,68.0
4,42,6,8,25.0
1,65,6,3,37.0
1,87,8,6,62.0
6,82,6,7,69.0
5,66,8,6,50.0
4,75,6,5,55.0
3,71,6,6,54.0
1,40,6,3,12.0
6,96,8,9,88.0
2,92,9,0,69.0
8,93,8,4,88.0
5,55,7,7,41.0
7,90,4,9,83.0
2,87,4,5,62.0
8,50,9,4,45.0
2,65,4,1,42.0
4,79,6,9,65.0
1,94,9,4,73.0
5,40,4,9,23.0
9,65,8,2,61.0
1,67,7,1,41.0
9,92,5,2,85.0
8,97,7,3,93.0
6,48,4,1,35.0
7,99,9,3,92.0
3,98,4,3,79.0
1,83,8,5,57.0
5,61,7,4,49.0
2,47,8,6,28.0
5,97,8,6,85.0
8,88,5,2,82.0
9,81,8,8,80.0
2,66,8,6,41.0
3,78,5,6,57.0
3,58,6,1,41.0
1,64,6,9,43.0
8,77,9,2,73.0
6,60,5,2,46.0
8,63,9,5,61.0
9,63,9,3,61.0
5,99,8,3,87.0
3,99,9,0,78.0
5,58,4,5,43.0
5,89,7,7,75.0
5,86,4,7,72.0
3,41,4,7,18.0
4,53,8,4,36.0
9,92,7,9,92.0
9,71,9,5,71.0
2,81,7,4,58.0
8,71,9,3,69.0
8,67,6,3,58.0
7,87,5,3,74.0
8,78,8,3,72.0
3,79,9,5,61.0
6,81,9,5,74.0
1,86,7,4,60.0
7,79,8,8,70.0
1,52,9,7,27.0
9,51,6,9,49.0
1,47,4,5,17.0
1,54,9,8,34.0
7,65,7,4,51.0
2,51,6,9,27.0
5,82,8,3,67.0
8,90,9,5,84.0
8,85,6,3,81.0
3,66,6,7,45.0
7,57,6,6,50.0
3,84,6,4,67.0
6,75,6,9,67.0
6,88,6,5,77.0
3,90,5,6,70.0
7,66,8,1,59.0
3,48,4,8,27.0
8,94,8,6,88.0
4,78,7,7,60.0
1,40,7,4,14.0
4,46,8,2,27.0
7,65,6,1,54.0
4,46,5,1,32.0
6,91,4,2,79.0
9,46,9,0,44.0
1,47,9,0,20.0
5,55,6,6,42.0
7,42,8,9,33.0
1,84,9,7,58.0
4,49,8,5,31.0
6,89,5,6,75.0
2,46,5,0,22.0
5,60,8,0,46.0
1,92,6,8,68.0
6,76,6,4,66.0
6,70,6,6,60.0
4,62,9,5,44.0
8,96,4,3,90.0
4,66,4,0,47.0
8,95,6,3,88.0
8,61,8,9,56.0
5,78,5,9,66.0
4,96,7,7,78.0
2,66,5,0,43.0
3,93,5,1,72.0
3,88,7,7,69.0
4,43,6,1,24.0
4,63,5,9,47.0
5,62,7,8,45.0
4,87,9,2,72.0
8,58,8,2,51.0
6,81,8,5,73.0
6,42,8,2,28.0
8,66,6,8,56.0
7,42,5,7,29.0
8,67,5,3,60.0
2,56,4,5,28.0
9,70,8,7,66.0
1,49,6,3,21.0
8,88,7,4,84.0
4,61,6,6,42.0
4,69,5,7,51.0
5,88,8,6,74.0
8,60,4,7,50.0
5,75,9,3,62.0
8,92,6,0,90.0
1,62,4,5,32.0
9,77,5,4,71.0
6,51,7,3,37.0
3,64,6,1,42.0
8,93,9,0,85.0
9,96,5,8,96.0
6,59,8,1,51.0
7,88,6,8,82.0
1,88,4,5,64.0
5,81,6,5,67.0
5,46,5,1,32.0
4,68,5,5,50.0
6,87,4,2,73.0
7,68,9,6,62.0
9,52,5,9,48.0
1,42,6,3,20.0
6,41,9,8,33.0
7,55,4,4,43.0
3,69,5,9,49.0
8,77,5,2,70.0
5,45,6,0,28.0
9,84,5,0,82.0
5,46,6,3,29.0
9,44,8,9,42.0
4,95,9,9,79.0
9,46,6,3,41.0
5,73,7,8,61.0
9,71,5,7,69.0
3,88,8,3,68.0
4,52,9,5,38.0
9,69,4,6,67.0
6,64,7,9,54.0
2,60,4,7,39.0
7,99,7,3,93.0
2,98,8,0,76.0
2,60,9,4,39.0
1,67,8,0,38.0
3,87,8,3,69.0
6,97,7,6,88.0
8,59,6,6,54.0
9,73,9,0,68.0
7,44,4,8,33.0
4,57,6,1,40.0
6,99,6,4,87.0
5,78,5,5,64.0
8,82,4,0,70.0
1,96,7,1,70.0
1,96,5,6,72.0
6,50,5,5,38.0
2,93,8,5,71.0
5,56,7,5,40.0
1,87,6,6,58.0
7,84,9,9,77.0
1,61,6,8,38.0
4,76,6,8,60.0
9,59,8,1,57.0
1,87,6,1,63.0
4,99,4,4,82.0
6,93,6,9,84.0
6,93,6,6,84.0
8,87,4,2,77.0
1,87,8,2,61.0
7,85,5,3,73.0
1,45,7,2,15.0
7,73,8,2,64.0
3,53,6,7,33.0
8,87,5,6,78.0
3,62,7,6,43.0
1,59,7,9,34.0
8,52,7,1,48.0
3,86,4,8,66.0
2,83,4,5,60.0
1,80,5,2,53.0
3,71,6,8,51.0
2,65,5,8,43.0
2,89,6,5,68.0
6,92,8,9,80.0
1,53,7,5,26.0
2,91,7,7,70.0
6,96,4,7,85.0
3,75,8,5,57.0
4,47,9,6,30.0
1,79,8,3,56.0
8,61,6,0,53.0
7,61,8,3,52.0
7,55,4,7,47.0
3,66,6,7,48.0
3,95,5,1,78.0
2,99,6,6,79.0
1,99,5,0,75.0
7,49,9,1,40.0
7,64,6,7,59.0
2,70,7,9,49.0
7,60,9,3,48.0
8,66,5,2,60.0
1,56,4,1,29.0
9,72,9,5,68.0
7,70,9,3,63.0
3,89,9,2,71.0
8,81,5,2,76.0
7,65,5,9,57.0
8,60,6,2,54.0
6,75,7,7,61.0
9,40,9,8,34.0
5,43,6,8,32.0
3,43,6,4,23.0
3,65,7,0,44.0
1,43,6,9,18.0
8,88,7,4,82.0
2,48,4,0,18.0
3,69,7,8,52.0
8,90,8,9,88.0
8,84,7,7,78.0
4,43,7,6,26.0
4,44,8,1,26.0
5,84,7,1,74.0
6,62,5,3,52.0
5,55,6,8,40.0
7,61,6,8,54.0
2,76,4,7,51.0
7,47,4,4,35.0
7,87,8,6,79.0
1,72,5,8,45.0
7,94,4,2,81.0
5,99,6,3,87.0
3,77,4,1,56.0
3,82,4,8,65.0
4,55,7,6,38.0
2,44,4,5,17.0
2,55,8,4,35.0
1,46,6,6,20.0
5,90,8,2,75.0
4,40,8,4,26.0
2,48,9,1,23.0
3,57,5,4,38.0
7,84,9,6,78.0
7,97,9,9,91.0
4,86,7,6,67.0
5,42,8,8,31.0
5,63,5,2,49.0
6,67,6,7,57.0
9,49,6,4,45.0
2,48,5,6,22.0
5,52,8,0,35.0
3,87,8,0,65.0
4,74,7,3,53.0
6,93,7,4,79.0
8,62,9,9,57.0
1,86,6,2,58.0
8,56,7,5,50.0
7,85,5,2,75.0
1,46,6,4,17.0
2,91,8,0,70.0
3,55,6,2,36.0
1,92,4,6,61.0
9,79,6,2,78.0
8,75,7,4,71.0
2,59,5,6,36.0
9,63,8,1,63.0
7,86,8,2,78.0
9,44,7,3,39.0
6,84,7,4,70.0
6,45,7,8,34.0
4,67,4,8,49.0
2,98,5,3,71.0
7,44,4,8,34.0
5,88,7,3,77.0
6,78,5,1,67.0
2,77,7,9,52.0
5,41,5,0,25.0
4,82,8,6,68.0
9,78,4,3,76.0
6,93,9,7,85.0
2,60,7,7,40.0
1,79,7,7,56.0
5,76,6,5,62.0
9,98,9,8,99.0
6,57,8,3,46.0
7,93,7,4,86.0
5,87,4,3,73.0
6,85,8,4,74.0
5,51,7,1,37.0
9,56,4,4,50.0
6,76,6,9,65.0
8,85,6,7,79.0
2,77,4,8,53.0
9,54,8,6,55.0
5,46,4,6,31.0
7,53,9,5,47.0
1,89,4,1,63.0
5,40,6,9,27.0
2,77,6,9,53.0
6,42,6,8,33.0
1,76,9,4,56.0
3,83,7,5,65.0
5,70,9,0,55.0
4,82,7,4,67.0
3,52,9,5,32.0
5,87,5,9,73.0
8,57,7,1,45.0
4,56,8,6,43.0
1,56,8,3,32.0
7,50,6,4,42.0
8,59,9,2,55.0
3,49,4,4,28.0
6,68,6,3,58.0
2,87,4,9,67.0
7,73,9,5,66.0
8,56,6,1,46.0
6,93,6,2,79.0
6,91,8,9,83.0
5,81,4,0,63.0
8,52,5,6,45.0
1,83,5,8,63.0
4,86,6,1,70.0
4,78,9,6,58.0
3,66,6,2,50.0
3,93,8,4,77.0
4,92,4,5,75.0
1,65,6,7,40.0
2,67,9,3,43.0
9,52,5,1,47.0
2,51,4,2,22.0
5,83,6,7,71.0
9,67,4,6,63.0
9,41,8,5,37.0
8,76,5,4,72.0
1,96,9,4,73.0
1,96,4,0,72.0
9,73,5,5,68.0
8,62,6,8,59.0
9,97,9,7,97.0
7,91,9,9,83.0
3,84,7,0,65.0
3,68,4,5,47.0
2,74,5,2,51.0
5,50,4,5,32.0
3,87,6,8,63.0
6,72,6,5,60.0
2,90,9,7,70.0
3,50,9,5,32.0
5,48,5,5,32.0
1,53,8,6,29.0
1,48,4,9,21.0
9,78,4,3,74.0
7,87,6,7,81.0
1,42,4,3,11.0
8,68,5,6,65.0
3,58,7,0,37.0
8,75,9,8,75.0
5,71,6,9,61.0
1,46,9,8,17.0
7,94,9,6,87.0
5,67,9,7,52.0
6,83,7,1,71.0
6,57,4,9,46.0
8,99,8,9,99.0
9,44,9,6,40.0
